COD_IMP,NOMBRE_EMP,RUT,NOMBRE_COD,RUT_COD
ASTA968612409,Astara Chile SPA,96.861.240-9,ASTA,968612409
GILD79649140K,Automotores Gildemeister SPA,79.649.140-K,GILD,79649140K
BYD764154193,BYD Chile SPA,76.415.419-3,BYD,764154193
CHER777373285,Chery Omoda & Jaecoo Motor SPA,77.737.328-5,CHER,777373285
CITR934350006,Citroen Chile SPA,93.435.000-6,CITR,934350006
KAUF965723609,Comercial Kaufmann SA,96.572.360-9,KAUF,965723609
ANDE760059099,Comercial Motores de los Andes SPA,76.005.909-9,ANDE,760059099
LEON795284109,Comercial y Arrendamientos Leon Ltda.,79.528.410-9,LEON,795284109
DITE968991000,Comercializadora Ditec Automóviles SA,96.899.100-0,DITE,968991000
DERC941410006,Derco SPA,94.141.000-6,DERC,941410006
DFMC765724961,DFMC SPA,76.572.496-1,DFMC,765724961
INDU760782882,Empresas Indumotora SPA,76.078.288-2,INDU,760782882
FORD787039103,Ford Motor Company Chile SPA,78.703.910-3,FORD,787039103
GEEL779559076,Geely Motor Chile SPA.,77.955.907-6,GEEL,779559076
GEMO935150000,General Motors Chile Industria Automotriz Ltda.,93.515.000-0,GEMO,935150000
HOND968706209,Honda Motor de Chile SA,96.870.620-9,HOND,968706209
KTRE772307855,Importadora y Comercializadora K Tres SPA,77.230.785-5,KTRE,772307855
ALAM930610003,Importadora y Distribuidora Alameda SPA,93.061.000-3,ALAM,930610003
INCH968563602,Inchcape Automotriz Chile SA,96.856.360-2,INCH,968563602
NISS763909891,Nissan Chile SPA,76.390.989-1,NISS,763909891
PORS762458284,Porsche Chile SPA,76.245.828-4,PORS,762458284
PSA84687500K,PSA Chile SA,84.687.500-K,PSA,84687500K
SAIC763608832,SAIC Motor Sudamerica SPA,76.360.883-2,SAIC,763608832
STEL84687500K,Stellantis Chile SA,84.687.500-K,STEL,84687500K
TATT830199004,Tattersall Automotriz SA,83.019.900-4,TATT,830199004
TESL767015984,Tesla Chile SPA,76.701.598-4,TESL,767015984
TOYO867405003,Toyota Chile SA,86.740.500-3,TOYO,867405003
VOLT775286717,Voltev Motor SPA,77.528.671-7,VOLT,775286717
WILL966954205,Williamson Balfour Motors SPA,96.695.420-5,WILL,966954205